cholesterol,diabetes,smoking,obesity,inactive,lesshighschool,gini,poverty,asian,black,age65,hisp,male,marri,racialseg,socialvul,large central metro,large fringe metro,medium/small metro,nonmetro,outpatientcost
31.6,7.9,17.5,31.1,18.6,5.5,0.409,7.2,3.6,4.2,9.8,8,53.917355,53.161102,0.19,0.34459999,0,0,1,0,3156
37.5,5.2,16.9,28.2,17.7,2.5,0.399,9.8,1.4,0,25.1,4.4,51.509132,59.886425,0.23,0.207,0,0,0,1,7234
39.1,11.7,22.3,29.8,14.5,6.3,0.431,15.7,1.5,3,20.5,6.8,53.389435,45.8671,0.38999999,0.41780001,0,0,0,1,6934
31.4,5.6,16.1,26.1,17.6,3.6,0.399,6.3,7.4,0.9,12.5,6.7,51.211716,52.347878,0.16,0.2987,0,0,0,1,4022
35.1,8.1,20.8,32.9,19.9,7.3,0.439,10.4,1.9,0.5,16.5,4.1,52.134647,52.582813,0.20999999,0.4073,0,0,0,1,5388
34.8,9.5,20.1,38.4,19.2,7.2,0.433,9.4,8.1,0.7,14.9,5.2,51.326088,50.782562,0.18000001,0.55479997,0,0,0,1,9819
32.1,6.8,19.3,28.1,24.8,10.2,0.372,7.1,23,0.2,9.8,8.9,53.683743,54.701748,0.27000001,0.70060003,0,0,0,1,6641
33.3,5.4,45.7,23,27.3,21.1,0.429,26.8,0.1,0,5.5,1.1,54.09697,32.002228,,,0,0,0,1,4870
34.4,11.6,30,37.1,26.6,12,0.426,17.4,2,1.1,7.8,0.1,53.768845,40.905056,0.34999999,0.7978,0,0,0,1,6673
32.3,8.6,20.5,34.3,19.8,7.1,0.422,9.6,1.5,1.1,11.3,4.9,52.04377,51.253994,0.15000001,0.31720001,0,0,1,0,2781
31.9,7.2,34.8,40.2,19.9,15.4,0.43,20.7,1.6,0.8,7,2.7,52.68322,38.456081,0.36000001,0.92989999,0,0,0,1,12396
31.9,5.8,26.8,43.4,33.6,10.3,0.409,11.4,7.2,1.4,6.9,2,61.121323,49.514435,0.38999999,0.73439997,0,0,0,1,13855
31.2,15.7,34.9,44.9,24.4,17.5,0.447,24,1.1,1,7.5,1.4,54.296825,35.07365,0.27000001,0.93540001,0,0,0,1,5812
36,7.1,19.2,25.1,22.1,10.3,0.427,6.7,5.1,1,22,11.6,52.901443,51.086555,0.31999999,0.66500002,0,0,0,1,6373
36.8,10.1,26.3,39.6,18.1,9.2,0.433,17.6,2,0.4,16,3.8,54.284378,48.823643,0.41999999,0.76620001,0,0,0,1,5889
33.1,5.8,17.4,25.5,17.6,5.3,0.419,8.1,6.7,0.7,15.2,6.7,51.435184,52.518696,0.15000001,0.40220001,0,0,0,1,8913
33,4.4,17.5,25.8,17,5.3,0.302,4,0.8,3.3,11.7,5.6,54.742546,46.475994,0.47999999,0.16850001,0,0,0,1,4630
35.8,9.3,22.4,32.3,18.8,10.1,0.406,12,2.7,0.3,13.6,6,54.812447,56.254723,0.43000001,0.58380002,0,0,0,1,2550
34,6.3,19.2,33.5,21.5,4.6,0.413,8.6,4.6,0.3,12.3,5.2,52.418045,52.433746,0.27000001,0.27039999,0,0,0,1,5728
39.6,16,21.4,35.8,25.8,13.5,0.421,9.7,1,0,22.7,5,54.23661,55.488091,0.12,0.5618,0,0,0,1,9772
36.2,7.9,23,37.1,31.5,8.8,0.339,14.7,6.1,0.7,14.5,7.7,54.853622,44.834309,0.16,0.5873,0,0,0,1,2701
35.7,8.4,32.1,30.8,24.4,14,0.467,24.4,0.7,0,14.3,2.6,53.54287,36.381275,0.50999999,0.88120002,0,0,0,1,3572
34.9,14.7,24,36,25,19.6,0.501,33.4,0.3,0.5,15,6.3,49.160271,37.57753,0.69,0.9885,0,0,0,1,5194
38.2,8.3,16,31.4,22.6,12.6,0.443,16.6,2.2,3.6,21.7,35.4,50.821106,52.405167,0.31,0.90640002,0,0,1,0,3229
28.1,7.8,16,24.5,16.6,9.5,0.467,15.9,2,1.1,12,14.1,49.39975,40.17379,0.41999999,0.71310002,0,0,1,0,3226
38.4,10.8,20,33.1,23.9,13.7,0.443,21.1,0.7,0.6,28.4,18.7,49.503231,51.519299,0.51999998,0.89899999,0,0,0,1,3763
32.9,11.5,19.5,34.1,22.6,14.7,0.42,20.1,0.7,1.8,13.7,33,53.492474,44.058884,0.47,0.96399999,0,0,0,1,2938
31.9,11.1,16.8,30,18.7,11.9,0.381,9.3,0.5,2,12.4,46.7,52.341946,53.524982,0.23,0.61879998,0,0,0,1,3102
42.3,13,17.5,34.3,35.2,23.1,0.488,22.1,0.7,0.8,38.6,27.5,51.4981,57.212128,0.54000002,0.92360002,0,0,0,1,5311
