cholesterol,diabetes,smoking,obesity,inactive,lesshighschool,gini,poverty,asian,black,age65,hisp,male,marri,racialseg,socialvul,large central metro,large fringe metro,medium/small metro,nonmetro,outpatientcost
36.1,9.3,15.9,38.6,26.6,5.1,0.37,10.1,0.2,0.1,21.1,2.5,50.755806,65.510483,0.61000001,0.080300003,0,0,1,0,5432
37.7,6.9,16.7,36.2,26.3,8.9,0.449,9.5,0.2,0.6,23.6,4.2,48.614223,54.213577,0.44999999,0.2185,0,0,0,1,6497
35.2,6.8,18.4,34.3,29.8,13.7,0.417,11.2,1.5,6,18.2,10.2,59.503971,50.753769,0.47,0.57770002,0,0,0,1,6860
34.9,7.6,15.8,35.8,19.9,3.6,0.408,7.7,0.4,0.1,19,6.2,49.563484,59.167473,0.56,0.093900003,0,0,0,1,6571
37.6,6.5,16.3,32.1,25.8,8.5,0.43,11.1,0.8,1.2,26.7,7.2,51.189884,60.185184,0.41,0.22679999,0,0,0,1,6958
37.8,9.9,14.2,26.5,24.1,4.9,0.421,18.9,0,0,24.1,0.9,48.157894,61.671925,0.57999998,0.001,0,0,0,1,7096
37.9,8.4,17.8,40,28.8,11.3,0.401,12.2,0.3,0,24.6,9.5,49.986237,55.001671,0.56,0.56110001,0,0,0,1,7707
36.4,8.8,14.8,34.9,26,7.9,0.417,12.2,0.3,0.4,24.5,2.8,49.57275,63.241402,0.70999998,0.32769999,0,0,0,1,4695
31,8.1,15.7,29.9,17.2,6.3,0.447,10.7,4.2,3.8,13.5,7,50.208202,48.672001,0.25,0.30250001,0,0,1,0,2963
36,10.5,17.4,40.6,25.3,6.5,0.436,10.8,0.8,1.2,18.9,8.6,49.059921,57.951263,0.37,0.36750001,0,0,0,1,4278
36.7,8,15.8,36.3,26,6,0.362,8.9,0,0,20.1,4.7,54.261059,63.337894,0.55000001,0.1073,0,0,0,1,4850
38.7,7,14.4,31.3,25.1,1.9,0.38,15.2,0,0,24.5,1.8,51.735538,67.669174,0.56999999,0.0045,0,0,0,1,4465
38.6,8.6,15.9,22,27.3,10.8,0.426,12.6,0,0,29.9,1.5,51.645569,71.511627,0.47,0.083800003,0,0,0,1,5102
34.4,8.8,16.6,32.6,25.5,9.6,0.442,10.2,1.7,1.2,15.5,15,49.73489,54.903381,0.41,0.51050001,0,0,0,1,3718
36.7,12.1,16.4,41.8,29,5.8,0.414,11,0.4,0.4,20.7,4.4,50.218006,60.072281,0.56,0.19750001,0,0,1,0,5541
35.9,13.7,16.6,35.5,28.2,12.5,0.421,13.2,0.4,0.7,20.1,15.4,50.742523,54.168839,0.51999998,0.42199999,0,0,0,1,7027
37.3,11.4,16.6,36,29.2,6.8,0.45,10.3,0,0.3,20.4,2.7,50.197517,58.772835,0.56,0.082500003,0,0,0,1,6599
34.1,8.5,15.9,35.7,25.4,8.2,0.432,11.8,0.7,1.4,19.7,2.7,49.992828,53.251259,0.46000001,0.16590001,0,0,0,1,6011
38.2,5.6,15.8,35.6,28.9,8.1,0.489,11.2,1.8,0.1,26.6,2.8,49.811497,59.21278,0.61000001,0.1736,0,0,0,1,10090
35.8,10.5,15.4,39.1,27.1,7.2,0.434,8.3,0.3,0.4,19.1,8,49.012478,57.035473,0.56,0.2287,0,0,0,1,8039
40,4.8,16.5,35.6,22.9,12.4,0.449,13.1,0,0.1,27.9,1.8,47.640617,55.733212,0.60000002,0.2318,0,0,0,1,7247
35.4,6.8,13.6,23.7,20.8,12,0.456,9.5,0,0.1,23,4.2,51.706306,68.142357,0.67000002,0.053800002,0,0,0,1,8759
34.7,8.8,14.8,37.7,23.5,6.7,0.433,10,0.1,0.3,20,5.7,50.131866,60.733768,0.56,0.1226,0,0,0,1,6472
34.5,8.9,15.4,30.8,26.2,4.6,0.414,9.3,0.7,0.2,18.9,1.5,49.762039,63.881542,0.63,0.0229,0,0,0,1,5935
32.3,7.9,14.2,35.6,20.4,11.1,0.414,9,0.7,0.5,17.3,18.9,51.238922,59.537884,0.44999999,0.2994,0,0,0,1,3623
36.7,7.1,15.5,34.3,26.7,8.6,0.368,6.9,0,0,21.8,5.5,48.727272,61.266777,0.56999999,0.1908,0,0,0,1,6238
35.5,8.8,16.6,33.3,21.7,7.5,0.435,12,0,0.6,20,5.2,49.647102,57.113659,0.38999999,0.23729999,0,0,0,1,7161
37.3,7.1,17.3,38.7,26.7,7.8,0.432,12.3,0,0.2,24.1,1.9,49.905792,55.704494,0.54000002,0.1025,0,0,0,1,7263
38.3,9.7,14.8,38.4,30.5,3.3,0.441,13.9,0,1.4,25.1,1.2,52.050919,64.231743,0.62,0.0092,0,0,0,1,7093
32.8,10.8,16.9,36.9,29.2,16.5,0.415,9.2,1.9,2.2,14.4,25.3,50.896988,54.315845,0.47,0.59780002,0,0,0,1,5773
30.7,9.1,14.2,34.1,19.8,4.5,0.387,5.9,2.6,3.6,11.4,9.3,50.043591,59.507183,0.22,0.097099997,0,0,1,0,3174
35.8,10.4,16.5,36.3,20.1,6.8,0.4,6.9,0.4,0.4,18.3,2.2,50.517365,60.500324,0.47999999,0.042399999,0,0,1,0,5008
35.3,10.3,16.4,34.4,24.2,12,0.452,13,0.6,0.7,18.7,23.8,48.372787,52.481178,0.41,0.5675,0,0,0,1,3985
32.2,7.2,14.5,34.1,21.7,6,0.395,7.2,0.4,0.5,17,2.6,50.934715,58.31591,0.41,0.046799999,0,0,1,0,5460
38.3,10.2,17,29.2,26.8,9.4,0.481,14.5,0.8,2,25.3,5.5,48.461098,55.622536,0.55000001,0.59680003,0,0,0,1,7183
38.3,7.4,14.9,35.6,22.3,7,0.42,12.4,0.3,0.1,26.7,2.2,50.478073,58.369781,0.67000002,0.073899999,0,0,0,1,5686
39,4.7,14.6,22.5,27.8,6.8,0.398,15.9,0,0.4,22.1,3.3,48.154224,65.916069,0.77999997,0.0178,0,0,0,1,4085
34.7,6.7,16.2,33.7,23.7,6.3,0.355,7,0.4,1.4,17.5,5.5,50.092327,63.426514,0.41,0.057,0,0,0,1,3317
38.1,7.1,15.1,32.8,19.7,7.6,0.409,10.8,0,0.4,25.4,2.5,50.266956,63.087086,0.58999997,0.057999998,0,0,0,1,8422
37.1,6.7,15.2,27.3,19.5,6.1,0.447,13.9,0,0,21.2,0,44.806202,65.17691,0.56,0.0035,0,0,0,1,2592
32.7,18.2,26.1,47.4,28.7,10.9,0.451,24.9,0.8,0.1,11.9,5.9,49.658821,42.191563,0.73000002,0.88660002,0,0,0,1,5920
37.5,8.8,15.9,31.8,21.1,7.7,0.433,10.4,0,0.4,25.4,3.3,48.692345,64.868805,0.56999999,0.14839999,0,0,0,1,7204
34.4,8.5,14.5,32.1,20.6,4.4,0.402,6.8,0.3,0.8,17.8,2.9,49.398361,62.423313,0.40000001,0.037900001,0,0,1,0,4638
30.9,8.3,13.6,36.8,20.6,4,0.443,11.8,0.4,1.4,15.5,5.9,50.814404,52.894367,0.43000001,0.084700003,0,0,0,1,6908
38,8.1,16.4,34.8,28.3,6.2,0.484,12.3,0.2,0.2,22.4,5.1,50.523041,59.838936,0.63,0.1092,0,0,0,1,6769
37.9,8.1,16.2,25.9,30.1,4.4,0.375,12.3,0.2,0,23.9,2.5,52.74585,64.605873,0.62,0.0048,0,0,0,1,6346
34.2,9.7,14.3,40,24.6,6.4,0.459,9.4,0.4,1.5,19.7,5.1,48.8032,62.402229,0.43000001,0.18279999,0,0,0,1,5676
35.1,10,19.5,31.9,26.2,8.4,0.411,11.7,2.8,2.4,18.7,13.9,50.636875,57.975163,0.31,0.60479999,0,0,0,1,4209
33,10,17.9,27.1,22.9,13.9,0.467,13.3,9.6,11.2,14.5,31.1,49.918697,46.199612,0.19,0.74040002,1,0,0,0,1784
38.4,5.8,15,25.7,18.1,6.8,0.441,8.1,1.8,0.7,27.4,12.6,50.213993,58.925098,0.20999999,0.1793,0,0,0,1,4748
32.6,8.9,21.9,28.1,23.3,13.7,0.381,11,1.2,0.4,11,24.3,52.041225,56.643375,0.38999999,0.51779997,0,0,0,1,3045
42.1,4.3,20.5,24.3,31.4,11.7,0.374,13.8,0,2.5,28.5,15.7,43.85965,48.774509,0.49000001,0.63950002,0,0,0,1,4172
36.9,5.8,19.4,24.4,22.9,5.4,0.41,9.9,0.6,0,18,4.3,50.511028,72.42321,0.47999999,0.067500003,0,0,0,1,3219
33.7,7.4,20.8,32,17.8,17.6,0.43,11,0.6,0.6,13.4,27,51.5807,58.008926,0.36000001,0.5869,0,0,0,1,6156
35,12.9,21.6,30,19.3,11.7,0.399,10.9,0.1,0,14.1,31.1,54.775829,54.85437,0.31999999,0.82609999,0,0,0,1,5388
37.3,8.5,19,28,27.9,13.8,0.375,13.8,0.8,3.8,21.9,6.8,53.861004,49.197502,0.43000001,0.42129999,0,0,0,1,3695
38.1,9.2,20.4,33.6,21.7,13.1,0.401,10.2,1.4,0.7,20.9,17.1,50.478115,52.487778,0.23999999,0.5783,0,0,0,1,3220
39.4,14.8,22,38.5,28.8,11,0.452,15.9,1.2,5.1,30.5,11.6,49.6861,44.529598,0.47,0.88150001,0,0,0,1,4576
40.5,10.7,21.2,34,24.1,13.9,0.415,16.1,2.1,1.8,29.7,14.6,50.795403,51.511345,0.30000001,0.73089999,0,0,0,1,1373
34.7,7.1,21.3,38.9,27.1,19.1,0.412,17.6,1.2,3.5,15.7,24.4,64.142097,46.747967,0.28999999,0.90380001,0,0,0,1,6217
40.6,7,16,27.5,21.7,6.4,0.422,7,0.9,1.6,28.6,3.2,52.858574,55.238377,0.33000001,0.071699999,0,0,1,0,3387
35.1,7,16.6,23.5,17.2,11.4,0.461,10.7,5.8,2.1,16,24.4,50.35519,50.459381,0.22,0.52710003,0,0,1,0,2735
35.5,14.5,20.8,30.9,23.1,11.9,0.396,13.7,1,5.6,16.5,16.1,58.766403,47.560524,0.40000001,0.37419999,0,0,0,1,7291
37.6,9.3,18.8,31,18.6,13,0.454,12.2,2.6,1.9,19.8,24.1,51.362896,49.421928,0.23,0.84429997,0,0,1,0,2913
35.7,8.3,15.6,28.3,20,6.8,0.44,8.6,0.9,0.6,21.4,1.6,49.274887,54.868816,0.31,0.084100001,0,0,0,1,4571
39.9,8.2,15.4,28.7,21.4,5.8,0.445,9,0.7,0.4,27,1.4,49.611534,57.649498,0.38999999,0.0583,0,0,0,1,6088
32.5,7.8,15.8,31.3,19.4,6.6,0.432,9.7,1.3,0.7,19.4,1.8,48.838799,48.678848,0.30000001,0.1417,0,0,0,1,4969
40.8,12.1,18.2,37.1,24.2,12.2,0.429,13.9,0.6,2.4,23.1,2.9,52.685802,51.039967,0.38,0.52899998,0,0,0,1,7239
33.7,6.5,14.2,24.7,17.8,7.2,0.485,9.2,3.7,1,20,2.3,49.24424,48.077888,0.28999999,0.1882,0,0,0,1,6072
32.5,8.5,15.7,28.2,21.2,7.9,0.428,7.5,4,2.3,15.2,6.7,49.727989,52.676838,0.27000001,0.1911,0,0,1,0,3951
33.1,7.4,16.3,27.6,18.7,6.8,0.427,6.4,2.1,1.3,17.6,2.1,49.267262,53.394394,0.25999999,0.1455,0,0,0,1,3908
34.2,7.2,13.6,26.6,17.2,4.9,0.424,5.1,2,0.7,17.2,2.9,49.564072,57.059288,0.23,0.0111,0,1,0,0,3868
32.4,9.9,16.5,31.5,23,7.2,0.429,8.8,3.3,0.9,14.6,2.5,48.948299,48.436398,0.22,0.17479999,0,1,0,0,4292
35.3,7.6,16.8,33.4,23.7,8.8,0.438,10.1,0.7,0.6,20.8,1.5,49.721603,50.962723,0.31,0.1513,0,0,0,1,6520
37.7,11.1,17,31.7,30.9,13,0.472,11.3,7.8,14,17.5,18.8,48.398563,47.655449,0.37,0.79110003,0,0,1,0,2601
34.6,7.3,12.5,21.6,23.6,7.5,0.476,5.7,16.2,5.2,17,19.9,48.4916,55.976242,0.27000001,0.2395,0,1,0,0,3114
36.2,10.3,15.1,29.3,23.7,6.3,0.434,5.7,5,16,16.6,8,49.180843,52.929325,0.31,0.2054,0,1,0,0,2842
34.3,11.9,17.5,32.2,28.4,11.3,0.471,10.7,5.7,18.2,15.4,16.7,48.278793,46.979225,0.38999999,0.61180001,0,1,0,0,2976
39.8,8.6,16.1,28,26.6,7.5,0.473,9.8,0.9,4.4,25.8,7.6,48.874161,56.965332,0.38999999,0.3398,0,0,1,0,3283
36.1,11.5,22.3,36.3,31.1,20.6,0.468,13.8,1.3,18,14.9,30.7,51.140839,42.103924,0.34,0.95920002,0,0,1,0,2815
33.1,10.7,15.8,29,29,13.9,0.555,13.8,5.2,38.4,13.4,23,48.091663,43.243252,0.44,0.84039998,1,0,0,0,2684
34.6,9.8,16.3,32.3,28.2,7.1,0.417,7.5,3,9.7,15.4,6.2,48.564903,52.04295,0.25999999,0.1675,0,1,0,0,2908
32.2,7.9,15.7,24.3,29,15.2,0.504,13.7,15,10.5,11.7,43,49.716438,46.366409,0.31,0.64240003,1,0,0,0,2646
36.1,5.7,12.2,22,17.5,5,0.435,4,4.1,2.3,17.9,6.5,49.753651,59.231125,0.27000001,0.0264,0,1,0,0,2737
34.1,9.2,14.5,26.9,25.5,11.5,0.503,11.9,11,19.8,14.9,17.5,48.881557,48.518913,0.38,0.55800003,0,0,1,0,2655
33.7,9.8,12.9,25.3,25.2,10.2,0.432,8.5,23.9,9.5,14.7,21.1,49.298965,54.24403,0.31,0.4659,0,1,0,0,2551
34.9,7.2,13.9,27,22.9,6.6,0.476,6.2,5.4,6.7,17.1,10.8,48.620869,54.670719,0.33000001,0.1605,0,1,0,0,2840
33.3,6.7,11.7,21.7,20.3,5.5,0.459,5.3,10.2,3.1,16.7,13.3,49.079105,57.212589,0.28,0.1201,0,1,0,0,2689
39.4,8.1,16.3,27.7,28.9,8,0.449,9,1.8,2.7,22.4,9.2,48.24778,54.361526,0.28,0.33539999,0,1,0,0,2878
34.7,8.3,15.5,26.4,27.3,16.3,0.47,13.3,5.1,10.4,14.3,41.5,48.712067,47.390152,0.40000001,0.77640003,0,1,0,0,2663
37.5,13.1,19.4,38.6,31.2,11.2,0.454,11.4,1.1,12.8,18.3,9,48.933163,50.888569,0.41,0.59009999,0,1,0,0,2961
32.5,6.1,11.6,23.1,19.9,5.5,0.457,5.4,17.6,9.2,15.3,14.6,48.87096,57.318718,0.28999999,0.1,0,1,0,0,2496
36.7,7.3,14.2,25.7,23.8,5.1,0.41,5.2,2,2.1,16.7,8.2,49.766403,57.085819,0.20999999,0.019099999,0,1,0,0,2502
33.8,7,15.1,25.2,25.6,13.6,0.495,9.1,5,20,14.2,31.5,48.756481,49.010925,0.36000001,0.6232,1,0,0,0,2701
36,7.9,16.1,31.1,26.1,8.5,0.419,7.1,2.6,4.3,17.6,9.2,48.964691,53.180275,0.25,0.21780001,0,0,1,0,3504
32.4,6.5,14.8,23.7,14.9,11.1,0.477,15.5,2.5,2.4,15.8,49.9,49.007904,43.790031,0.23,0.68279999,0,0,1,0,3377
41.9,5.3,16.5,26.7,21.1,5.9,0.383,20.6,0,0,37,19,55.133297,50.540024,0.46000001,0.33570001,0,0,0,1,3610
34.6,9.2,19.4,33.5,24.9,21.8,0.461,18.1,0.9,1.4,15.5,56.7,49.946274,47.744015,0.28,0.9551,0,0,0,1,3122
34.8,13.8,24.7,34.1,28.7,17,0.455,25.5,0.1,0.8,15.6,38.3,50.619167,40.798779,0.47999999,0.99839997,0,0,0,1,3811
38.9,10.3,16.8,28.1,26.3,11.8,0.429,17,0.4,0.6,27,49.4,51.413544,49.893307,0.37,0.96270001,0,0,0,1,4350
31.3,8.8,19.1,31.7,29.4,18.1,0.445,18.7,1.5,4.9,12.2,42.1,52.19175,46.619865,0.27000001,0.87739998,0,0,0,1,4224
39,18.1,18.1,35.6,24.7,15.7,0.428,18.6,0,1.5,19.7,53.4,51.127453,38.557377,0.38999999,0.69389999,0,0,0,1,4077
31.8,8.9,14.8,26.6,15.7,20.6,0.492,23.8,1,1.6,15.3,68.2,49.08432,48.207016,0.28,0.98409998,0,0,1,0,2965
32.4,11.2,17.4,36.3,24.4,15.6,0.432,11.2,0.4,1.4,14.3,49.1,50.46941,52.806713,0.31,0.70319998,0,0,0,1,3571
36.2,7,15,29.8,17.3,12.5,0.504,18.1,0.4,0.8,26.6,50.4,49.340416,45.096596,0.28999999,0.9296,0,0,0,1,3548
34.5,6,15.2,39.9,27.9,17.3,0.469,23.5,0.2,0.5,21.8,73.9,58.718124,28.728674,0.34,0.95289999,0,0,0,1,2461
39.7,6.1,14.4,28.3,26.7,14.6,0.61,15.4,0.6,0,39,39.6,54.875282,56.555271,0.50999999,0.36149999,0,0,0,1,3297
37.3,7.5,17.3,26.6,20.6,17.7,0.471,22.9,0,1.2,21.2,58.1,49.569466,51.918671,0.41999999,0.96310002,0,0,0,1,3750
32.3,12.2,18.8,33.4,28.1,25.7,0.442,15.1,0.5,3.3,11.1,58.6,51.608635,52.339817,0.28999999,0.9217,0,0,0,1,5563
38.3,7.6,15.9,24.2,20.3,10.5,0.465,13.7,0,0.5,28.1,33.1,49.09306,55.279919,0.31999999,0.47960001,0,0,0,1,4521
30.8,5.5,9.3,22.9,10.2,2.4,0.391,3.5,4.9,0.5,17.5,17.9,50.808052,60.948662,0.14,0.024800001,0,0,0,1,3003
37.5,9.4,19.9,35,30.8,30.2,0.473,23.8,0.8,1.3,20.5,67,49.935638,47.905537,0.43000001,0.99900001,0,0,0,1,4594
30.2,18.8,27.3,38.3,26.2,22.8,0.512,30.1,1,0.5,11.9,14.2,48.297855,37.122398,0.44999999,0.98890001,0,0,0,1,3317
40.4,10.5,14.6,27.1,19.9,10.8,0.476,21.2,0,0,30.4,81.4,48.522926,34.102501,0.33000001,0.79589999,0,0,0,1,3786
32.6,9.4,19.6,31.5,22.3,16.6,0.472,20.1,1.3,3.2,17,38.2,51.73201,48.856144,0.37,0.91399997,0,0,0,1,4371
39.4,7.2,18.9,27.8,24.7,18.1,0.446,21.7,0.7,1.6,24.3,45.2,47.754025,40.314369,0.44999999,0.8096,0,0,0,1,4436
34.1,8.2,17,28.9,19.1,13.6,0.508,22.2,0.5,0.4,18.7,71.2,48.057919,37.269093,0.54000002,,0,0,0,1,3539
30.8,8.6,17.7,31.3,29.4,20,0.446,18.8,0.5,2.4,13.9,42.1,49.772343,43.152283,0.36000001,0.94300002,0,0,0,1,4351
32.7,7.5,15.7,28.3,14.4,10.1,0.421,10,1.3,2,17.1,38.9,49.012642,51.410561,0.34,0.48179999,0,0,1,0,3045
31.6,12.5,23,34.9,22,15.1,0.446,19.9,0.6,0.6,14.3,20.2,49.541161,47.490051,0.40000001,0.91939998,0,0,1,0,3647
37.2,11.3,15.7,31.5,22.6,16.7,0.504,23.8,0.9,0.9,20.6,77.7,49.841373,36.011375,0.28999999,0.98629999,0,0,0,1,4026
34,4.8,13.5,16.3,12,10.7,0.488,12.4,1.2,0.8,23.1,51.2,48.481846,46.582081,0.31,0.5255,0,0,1,0,3242
40.6,8.9,18.4,29.5,23.2,16,0.535,27.6,0.7,0.3,35.5,30.3,49.524067,43.327755,0.31999999,0.91460001,0,0,0,1,4206
36.6,10.6,20,31.4,22.2,18.2,0.447,26,3.2,0.5,18.9,49.7,52.289715,34.727112,0.41,0.9745,0,0,0,1,4142
37.8,5.1,15.6,16.2,11,9.9,0.487,18.2,0.7,0.1,25.3,56.8,49.219177,40.103867,0.41,0.85860002,0,0,0,1,4156
36.6,10,19,33.8,24,15.4,0.459,21.6,0.1,0.7,20.1,43,53.167084,48.951374,0.30000001,0.74900001,0,0,1,0,2443
34.2,11,18.6,33.7,24,18.1,0.498,20.3,0,1.4,19.7,42.3,53.738205,40.30249,0.44999999,0.67930001,0,0,0,1,4692
33.2,9.7,17.8,34.3,23.7,15.5,0.435,17.6,0.5,1,17.2,60.5,50.303181,47.877659,0.19,0.9041,0,0,1,0,3539
31.6,8.8,15.5,27.4,19.2,7.9,0.46,11.7,6.5,11.5,16.5,5.9,48.416775,42.942863,0.30000001,0.30410001,0,0,1,0,2223
35.1,9.3,20.3,36.6,26.3,9.2,0.44,17.9,1.2,1.4,18.4,1.6,50.715385,49.638035,0.34999999,0.58179998,0,0,0,1,3711
33.7,12.4,18.1,28.4,29.8,27.2,0.512,26.2,3.6,29.2,12.5,56,47.136234,36.932953,0.25999999,0.99269998,1,0,0,0,2388
34.7,8.9,20,30.2,21.7,9.3,0.465,17.8,4.3,5.1,18.7,4.2,49.214756,45.631409,0.25999999,0.61659998,0,0,1,0,4729
38,11.8,22.3,38.7,26.6,11.2,0.433,14.7,0.7,1.4,18.7,2.1,49.690746,50.609814,0.41,0.72829998,0,0,0,1,3263
35.6,9.7,21.5,33.6,23.5,12.2,0.435,13.8,0.5,4.1,18.4,2.9,51.349049,49.105133,0.38999999,0.5025,0,0,0,1,2487
36.9,10.5,22,33.6,24.9,11.2,0.452,16.3,0.6,2.3,19.6,7.4,49.305038,48.578426,0.36000001,0.72479999,0,0,0,1,2927
35.4,10.6,22.4,34.9,28.9,9.7,0.442,14.1,1.3,5.9,18.4,3,49.538841,50.354599,0.33000001,0.48500001,0,0,1,0,4468
37.2,11,21.5,39.6,22.3,11.9,0.433,13.7,0.4,0.8,20.2,2.1,50.101234,53.937046,0.36000001,0.56459999,0,0,0,1,4251
33.2,10,20.7,35.8,27,12.4,0.428,14.8,1.4,4,16.4,2.9,51.198143,46.461979,0.36000001,0.53119999,0,0,0,1,4518
37,7.3,18.6,25.8,20.8,9.7,0.466,10.1,1.7,4.3,23.1,4.7,49.987576,51.670258,0.36000001,0.3854,0,0,0,1,3376
32.8,10.5,19.6,34.1,24.6,9.3,0.443,17.3,0.7,1.8,16,2.7,48.977333,45.811855,0.23999999,0.3452,0,0,0,1,3655
37.5,7.6,20.5,31.6,24.6,11.1,0.441,12.6,0.7,1.5,24,3.8,50.456718,50.455505,0.36000001,0.63309997,0,0,0,1,4868
33.7,8.1,14.9,27.7,19.4,8.9,0.45,8.6,3.5,9.7,17.1,12.1,49.722218,51.132236,0.25,0.42070001,0,1,0,0,2703
33,9.7,17.9,29,22.7,8.2,0.466,13.3,3.5,13,17.6,5.5,48.384464,46.275917,0.44999999,0.414,1,0,0,0,2594
35.9,8.6,17.4,29.9,22,8.5,0.436,12.4,0.2,2.9,22.8,3,52.067593,51.579529,0.5,0.38690001,0,0,0,1,5322
34.8,12,22.6,39.1,24.8,12.6,0.453,18.1,0.7,5.6,16.6,3.5,54.446579,47.636993,0.61000001,0.70730001,0,0,0,1,4895
37.5,11.8,22.9,35.7,26,12.7,0.423,16.4,0.7,1.9,19,3,49.957127,49.852394,0.33000001,0.50099999,0,0,0,1,3175
35.2,11.1,21.5,33.9,29.8,7.8,0.412,10.5,0.7,2,18.3,3.2,50.064007,52.17915,0.38,0.18790001,0,0,0,1,3936
37.8,8.9,21.8,31.2,24.5,13.3,0.453,12.6,1,5.4,21.6,5.9,52.285763,46.737381,0.38999999,0.41589999,0,0,0,1,2897
41.4,8.9,18.6,29.7,17.4,22.5,0.398,9.8,0.1,0.7,30.3,1.6,50.143963,40.954273,0.43000001,0.38980001,0,0,0,1,2636
36.6,9,23.3,33.6,24.7,10.2,0.415,13.7,0.6,1,20.1,2.1,49.504486,51.624359,0.31999999,0.53219998,0,0,1,0,3739
30.9,10.9,19.8,36.2,25.1,9,0.421,14.6,1.8,5.7,13.2,7.5,52.521225,54.51984,0.28,0.64840001,0,0,1,0,3721
31.2,9.5,15.4,23.8,23.9,17.6,0.526,17.7,11.8,29.9,13.6,19,47.378815,44.045658,0.43000001,0.81529999,1,0,0,0,2296
36.6,12,20.8,35.9,27.2,9.9,0.4,12.4,0.6,0.6,17.9,1.7,50.079029,56.258717,0.44999999,0.2911,0,0,0,1,4740
33.5,11.1,19.7,36.7,23.5,9.4,0.424,13.8,1.3,2.5,17.2,3.6,50.318439,48.721344,0.36000001,0.34240001,0,1,0,0,4661
34.6,9,18.8,31.5,21.4,8,0.431,9.8,1,1.6,17.6,2.2,49.394005,49.250301,0.34999999,0.1666,0,0,1,0,2947
33.5,8.1,17.3,30.7,19.9,9.6,0.464,12.7,3.6,14.4,16.9,8.7,48.258068,46.100994,0.36000001,0.52039999,1,0,0,0,4458
36.4,10.4,21.6,35.3,27.6,13.2,0.447,15.9,0.6,1.8,18.3,14,49.196789,48.312641,0.36000001,0.83060002,0,0,0,1,3207
34.3,7,11.5,23.6,19.4,8.6,0.458,5.6,9.6,11.1,17.5,16.9,48.66116,55.265926,0.38999999,0.243,0,1,0,0,2623
29.7,6.6,12,15.7,16.8,12.7,0.596,14.1,12,12.4,16.2,25.8,47.341747,37.478493,0.33000001,0.551,1,0,0,0,2913
33.9,11.8,21.4,32.1,26.5,8.8,0.443,12.4,1.1,6.8,18.6,3,48.750118,49.605644,0.34999999,0.33180001,0,1,0,0,2915
34.1,12.2,19.4,33.8,23.6,11.5,0.454,14.6,4,5.6,18.4,5.7,49.86367,47.380253,0.36000001,0.69459999,0,0,1,0,2875
32.9,10,16.4,31.3,20.4,9,0.465,13.8,3.6,10.8,16.6,4.9,48.239471,46.996643,0.34999999,0.52069998,0,0,1,0,2345
34.5,8.7,16.9,31.3,20.3,6.1,0.451,8.1,1.4,2.1,19.4,4.7,48.962204,51.954304,0.31,0.2315,0,1,0,0,3770
33.3,8.3,16.8,28.4,26,10.3,0.441,12.3,2.7,9.9,13.7,20.4,50.108002,51.519661,0.27000001,0.55379999,0,1,0,0,2463
36.2,13.5,23.6,36.7,31,12.3,0.421,13.2,0.5,5.6,17.4,4.9,49.977997,51.816837,0.36000001,0.64300001,0,1,0,0,3886
34.8,9.5,22.6,36.2,24.6,11.8,0.432,15.6,0.6,0.9,15.8,2.5,50.08239,50.22295,0.30000001,0.64969999,0,0,1,0,2570
35.3,7.6,17.8,28.8,21.3,8.3,0.447,16.2,1.3,1.8,20.6,3.6,48.227505,47.637878,0.31,0.42359999,0,0,0,1,5048
33.2,5.6,14.3,22.8,18.8,7,0.423,5.2,2,2.7,16.7,14.9,49.825382,57.324104,0.19,0.081200004,0,1,0,0,3056
34.1,10.2,14,24.1,27.4,18,0.452,11,25.3,17.2,15.3,28,48.516998,48.838585,0.36000001,0.62010002,1,0,0,0,2199
33.4,8.8,19.7,29.7,20.5,8.1,0.429,11.5,2.6,5.9,16.5,4.9,49.532307,46.861229,0.31,0.34299999,0,0,1,0,2831
34.1,9.8,18.2,28.6,24.6,11.3,0.455,9.1,9.2,9.3,15.9,18.4,48.444595,53.891926,0.28999999,0.47639999,1,0,0,0,2528
34.7,7.4,13.8,22.8,23.7,11.8,0.465,12.5,5.8,11.3,15.5,17.7,49.04538,54.878887,0.34,0.6038,0,1,0,0,3159
36.4,10.2,20.2,35.3,27.4,11.3,0.442,18.9,1,2.2,16.9,2.3,50.82589,47.602909,0.40000001,0.7475,0,0,0,1,4955
32.1,7.6,17,27.2,17.1,6,0.419,6,2.9,1.5,17.6,3.2,49.454273,56.839104,0.23999999,0.047499999,0,0,1,0,3151
32.8,10.2,16.5,31.4,20.8,9.3,0.435,12.1,4.4,9.4,16.8,7,48.757256,44.367603,0.30000001,0.39430001,0,0,1,0,2280
35.3,9.7,20.6,35.2,24.1,10.3,0.424,12.1,0.9,1.3,21,3.1,49.644482,49.635609,0.34999999,0.40130001,0,0,1,0,4056
37.1,9,20.4,31.7,24.5,9.6,0.418,15.7,0.7,0.8,20.8,1.8,50.027901,52.076866,0.47,0.3691,0,0,0,1,5797
35.5,11.2,22.6,38.5,28.5,15.2,0.438,13.7,0.8,4.7,18.6,3.4,52.215759,51.356049,0.44999999,0.449,0,0,0,1,3732
37.1,11.3,19.7,34.7,24.4,9.5,0.453,15,1.5,1.5,18.9,1.6,49.91703,53.635113,0.36000001,0.4691,0,0,0,1,3942
